Isis;Desire;Bob Dylan;1975
Joey;Desire;Bob Dylan;1975
Sara;Desire;Bob Dylan;1975
Saved;Saved;Bob Dylan;1980
Mary Ann;Dylan;Bob Dylan;1973
Hurricane;Desire;Bob Dylan;1975
I And I;Infidels;Bob Dylan;1983
Sarah Jane;Dylan;Bob Dylan;1973
Solid Rock;Saved;Bob Dylan;1980
Jokerman;Infidels;Bob Dylan;1983
Mozambique;Desire;Bob Dylan;1975
Oh, Sister;Desire;Bob Dylan;197
Pressing On;Saved;Bob Dylan;1980
Dirge;Planet Waves;Bob Dylan;1974
Hazel;Planet Waves;Bob Dylan;1974
Rudy (live);Paris;Supertramp;1980
Saving Grace;Saved;Bob Dylan;1980
Senor;Street Legal;Bob Dylan;1978
Surely;Supertramp;Supertramp;1970
Surely;Supertramp;Supertramp;1970
Are You Ready;Saved;Bob Dylan;1980
In The Garden;Saved;Bob Dylan;1980
Mr. Bojangles;Dylan;Bob Dylan;1973
Asylum (live);Paris;Supertramp;1980
Covenant Woman;Saved;Bob Dylan;1980
Fool Such as I;Dylan;Bob Dylan;1973
School (live);Paris;Supertramp;1980
Trouble;Shot Of Love;Bob Dylan;1981
Wigwam;Self Portrait;Bob Dylan;1970
Big Yellow Taxi;Dylan;Bob Dylan;1973
Dreamer (live);Paris;Supertramp;1980
Goldrush;Slow Motion;Supertramp;2002
Gospel Plow;Bob Dylan;Bob Dylan;1962
Man Of Peace;Infidels;Bob Dylan;1983
New Pony;Street Legal;Bob Dylan;1978
Over You;Slow Motion;Supertramp;2002
Try Again;Supertramp;Supertramp;1970
A Satisfied Mind;Saved;Bob Dylan;1980
Delia;World Gone Wrong;Bob Dylan;1993
Floater;Love And Theft;Bob Dylan;2001
Home Again;Supertramp;Supertramp;1970
Lily of the West;Dylan;Bob Dylan;1973
Po' Boy;Love And Theft;Bob Dylan;2001
Shooting Star;Oh Mercy;Bob Dylan;1989
Union Sundown;Infidels;Bob Dylan;1983
Winterlude;New Morning;Bob Dylan;1970
Blue Moon;Self Portrait;Bob Dylan;1970
New Morning;New Morning;Bob Dylan;1970
Shadow Song;Supertramp;Supertramp;1970
She's No Good;Bob Dylan;Bob Dylan;1962
Song To Woody;Bob Dylan;Bob Dylan;1962
The Boxer;Self Portrait;Bob Dylan;1970
Tough Mama;Planet Waves;Bob Dylan;1974
Two Of Us (live);Paris;Supertramp;1980
What Good Am I;Oh Mercy;Bob Dylan;1989
Alberta #1;Self Portrait;Bob Dylan;1970
Alberta #2;Self Portrait;Bob Dylan;1970
Aries;Indelibly Stamped;Supertramp;1971
Belle Isle;Self Portrait;Bob Dylan;1970
Black Diamond Bay;Desire;Bob Dylan;1975
Crazy;Famous Last Words;Supertramp;1982
Days Of 49;Self Portrait;Bob Dylan;1970
Lenny Bruce;Shot Of Love;Bob Dylan;1981
License To Kill;Infidels;Bob Dylan;1983
Moonlight;Love And Theft;Bob Dylan;2001
Political World;Oh Mercy;Bob Dylan;1989
Pretty Peggy-0;Bob Dylan;Bob Dylan;1962
Ring Them Bells;Oh Mercy;Bob Dylan;1989
Slow Motion;Slow Motion;Supertramp;2002
Three Angels;New Morning;Bob Dylan;1970
Ballad of Ira Hayes;Dylan;Bob Dylan;1973
Bonnie;Famous Last Words;Supertramp;1982
From Now On (live);Paris;Supertramp;1980
High Water;Love And Theft;Bob Dylan;2001
Lady;Crisis? What Crisis;Supertramp;1975
Most Of The Time;Oh Mercy;Bob Dylan;1989
Nettie Moore;Modern Times;Bob Dylan;2006
Potter;Indelibly Stamped;Supertramp;1971
Romance In Durango;Desire;Bob Dylan;1975
Shot Of Love;Shot Of Love;Bob Dylan;1981
Silvio;Down In The Groove;Bob Dylan;1988
Someday Baby;Modern Times;Bob Dylan;2006
Sugar Baby;Love And Theft;Bob Dylan;2001
The Man In Me;New Morning;Bob Dylan;1970
Wedding Song;Planet Waves;Bob Dylan;1974
Ain't Talkin';Modern Times;Bob Dylan;2006
Bye And Bye;Love And Theft;Bob Dylan;2001
Cry A While;Love And Theft;Bob Dylan;2001
Dark Eyes;Empire Burlesque;Bob Dylan;1985
Forever;Indelibly Stamped;Supertramp;1971
Forever Young;Planet Waves;Bob Dylan;1974
Heart Of Mine;Shot Of Love;Bob Dylan;1981
Highlands;Time Out Of Mind;Bob Dylan;1997
Highway 51 Blues;Bob Dylan;Bob Dylan;1962
If Not For You;New Morning;Bob Dylan;1970
Let It Be Me;Self Portrait;Bob Dylan;1970
Little Sadie;Self Portrait;Bob Dylan;1970
Love Sick;Time Out Of Mind;Bob Dylan;1997
Mississippi;Love And Theft;Bob Dylan;2001
Oh Darling;Free As A Bird;Supertramp;1987
Oh,Sister (live);Hard Rain;Bob Dylan;197
Rudy;Crime Of The Century;Supertramp;1974
Summer Days;Love And Theft;Bob Dylan;2001
Talkin' New York;Bob Dylan;Bob Dylan;1962
Words Unspoken;Supertramp;Supertramp;1970
You Angel You;Planet Waves;Bob Dylan;1974
Broken Hearted;Slow Motion;Supertramp;2002
Can't Wait;Time Out Of Mind;Bob Dylan;1997
Copper Kettle;Self Portrait;Bob Dylan;1970
Disease Of Conceit;Oh Mercy;Bob Dylan;1989
Father Of Night;New Morning;Bob Dylan;1970
God Knows;Under The Red Sky;Bob Dylan;1990
I Want You;Blonde On Blonde;Bob Dylan;1966
Idiot Wind (live);Hard Rain;Bob Dylan;1976
Jack-A-Roe;World Gone Wrong;Bob Dylan;1993
Love Henry;World Gone Wrong;Bob Dylan;1993
Neighborhood Bully;Infidels;Bob Dylan;1983
Nothing To Show;Supertramp;Supertramp;1970
Peggy Day;Nashville Skyline;Bob Dylan;1969
Remember;Indelibly Stamped;Supertramp;1971
What Can I Do For You;Saved;Bob Dylan;1980
Woogie Boogie;Self Portrait;Bob Dylan;1970
Asylum;Crime Of The Century;Supertramp;1974
Dignity (live);MTV Unplugged;Bob Dylan;1994
If Dogs Run Free;New Morning;Bob Dylan;1970
It's A Long Road;Supertramp;Supertramp;1970
It's Alright;Free As A Bird;Supertramp;1987
One More Weekend;New Morning;Bob Dylan;1970
School;Crime Of The Century;Supertramp;1974
Slow Train;Slow Train Coming;Bob Dylan;1979
Stack A Lee;World Gone Wrong;Bob Dylan;1993
Sweetheart Like You;Infidels;Bob Dylan;1983
Travelled;Indelibly Stamped;Supertramp;1971
A Soapbox Opera (live);Paris;Supertramp;1980
Country Pie;Nashville Skyline;Bob Dylan;1969
Dead Man's Blues;Slow Motion;Supertramp;2002
Dreamer;Crime Of The Century;Supertramp;1974
Everything Is Broken;Oh Mercy;Bob Dylan;1989
Fixin' To Die Blues;Bob Dylan;Bob Dylan;1962
Fool's Overture (live);Paris;Supertramp;1980
Freight Train Blues;Bob Dylan;Bob Dylan;1962
Gotta Travel On;Self Portrait;Bob Dylan;1970
Handy Dandy;Under The Red Sky;Bob Dylan;1990
Honest With Me;Love And Theft;Bob Dylan;2001
In My Time Of Dyin';Bob Dylan;Bob Dylan;1962
It Hurts Me Too;Self Portrait;Bob Dylan;1970
Lay Lady Lay (live);Hard Rain;Bob Dylan;1976
Little By Little;Slow Motion;Supertramp;2002
Lone Pilgrim;World Gone Wrong;Bob Dylan;1993
No Time To Think;Street Legal;Bob Dylan;1978
Not Dark Yet;Time Out Of Mind;Bob Dylan;1997
One More Cup Of Coffee;Desire;Bob Dylan;1975
Poor Boy;Crisis? What Crisis;Supertramp;1975
Shenandoah;Down In The Groove;Bob Dylan;1988
Take Me As I Am;Self Portrait;Bob Dylan;1970
Thing For You;Free As A Bird;Supertramp;1987
Two Soldiers;World Gone Wrong;Bob Dylan;1993
Where I Stand;Free As A Bird;Supertramp;1987
Where Teardrops Fall;Oh Mercy;Bob Dylan;1989
Baby, Stop Crying;Street Legal;Bob Dylan;197
Born In Time;Under The Red Sky;Bob Dylan;1990
Clean Cut Kid;Empire Burlesque;Bob Dylan;1985
Day Of The Locusts;New Morning;Bob Dylan;1970
Free As A Bird;Free As A Bird;Supertramp;1987
Idiot Wind;Blood On The Tracks;Bob Dylan;1975
In The Summertime;Shot Of Love;Bob Dylan;1981
Lay Lady Lay;Nashville Skyline;Bob Dylan;1969
Living The Blues;Self Portrait;Bob Dylan;1970
Maggie's Farm (live);Hard Rain;Bob Dylan;1976
Maybe I'm A Beggar;Supertramp;Supertramp;1970
Million Miles;Time Out Of Mind;Bob Dylan;1997
Never Say Goodbye;Planet Waves;Bob Dylan;1974
Not The Moment;Free As A Bird;Supertramp;1987
Property Of Jesus;Shot Of Love;Bob Dylan;1981
Ruben Remus;The Basement Tapes;Bob Dylan;1975
Sign On The Window;New Morning;Bob Dylan;1970
The Logical Song (live);Paris;Supertramp;1980
Time Passes Slowly;New Morning;Bob Dylan;1970
Two Of Us;Crisis? What Crisis;Supertramp;1975
Unbelievable;Under The Red Sky;Bob Dylan;1990
Watered-Down Love;Shot Of Love;Bob Dylan;1981
Bee In Your Bonnet;Slow Motion;Supertramp;2002
Bessie Smith;The Basement Tapes;Bob Dylan;1975
Beyond The Horizon;Modern Times;Bob Dylan;2006
Bloody Well Right (live);Paris;Supertramp;1980
C'est le bon;Famous Last Words;Supertramp;1982
Dead Man, Dead Man;Shot Of Love;Bob Dylan;198
Forever Young (II);Planet Waves;Bob Dylan;1974
Going, Going, Gone;Planet Waves;Bob Dylan;19
I'm Beggin' You;Free As A Bird;Supertramp;1987
Jim Jones;Good As I Been To You;Bob Dylan;1992
John Brown (live);MTV Unplugged;Bob Dylan;1994
Trust Yourself;Empire Burlesque;Bob Dylan;1985
Two Times Two;Under The Red Sky;Bob Dylan;1990
What Was It You Wanted;Oh Mercy;Bob Dylan;1989
Wiggle Wiggle;Under The Red Sky;Bob Dylan;1990
A Sting In The Tail;Slow Motion;Supertramp;2002
Cannonball;Breakfast In America;Supertramp;1979
Can't Help Falling in Love;Dylan;Bob Dylan;1973
Dirt Road Blues;Time Out Of Mind;Bob Dylan;1997
Early Mornin' Rain;Self Portrait;Bob Dylan;1970
Every Grain Of Sand;Shot Of Love;Bob Dylan;1981
Hard Times;Good As I Been To You;Bob Dylan;1992
Hide In Your Shell (live);Paris;Supertramp;1980
Man Of Constant Sorrow;Bob Dylan;Bob Dylan;1962
Maybe Someday;Knocked Out Loaded;Bob Dylan;1986
Odds And Ends;The Basement Tapes;Bob Dylan;1975
Oh Darling;Breakfast In America;Supertramp;1979
Oh, Sister;The Best Of Bob Dylan;Bob Dylan;199
One More Night;Nashville Skyline;Bob Dylan;1969
Precious Angel;Slow Train Coming;Bob Dylan;1979
Spirit On The Water;Modern Times;Bob Dylan;2006
Tears Of Rage;The Basement Tapes;Bob Dylan;1975
The Meaning;Crisis? What Crisis;Supertramp;1975
Ain't Nobody But Me (live);Paris;Supertramp;1980
Blood In My Eyes;World Gone Wrong;Bob Dylan;1993
Canadee-I-O;Good As I Been To You;Bob Dylan;1992
Cold Irons Bound;Time Out Of Mind;Bob Dylan;1997
Dear Landlord;John Wesley Harding;Bob Dylan;1967
Diamond Joe;Good As I Been To You;Bob Dylan;1992
Easy Does It;Crisis? What Crisis;Supertramp;1975
Friend In Need;Indelibly Stamped;Supertramp;1971
From Now On;Breakfast In America;Supertramp;1979
House Of The Risin' Sun;Bob Dylan;Bob Dylan;1962
Is Your Love In Vain;Street Legal;Bob Dylan;1978
It Doesn't Matter;Free As A Bird;Supertramp;1987
Lo And Behold!;The Basement Tapes;Bob Dylan;1975
Lonesome Day Blues;Love And Theft;Bob Dylan;2001
Minstrel Boy (live);Self Portrait;Bob Dylan;1970
On A Night Like This;Planet Waves;Bob Dylan;1974
Pledging My Time;Blonde On Blonde;Bob Dylan;1966
Ragged And Dirty;World Gone Wrong;Bob Dylan;1993
Rollin' And Tumblin';Modern Times;Bob Dylan;2006
Rudy;The Very Best Of Supertramp;Supertramp;1990
Went To See The Gypsy;New Morning;Bob Dylan;1970
When He Returns;Slow Train Coming;Bob Dylan;1979
World Gone Wrong;World Gone Wrong;Bob Dylan;1993
All The Tired Horses;Self Portrait;Bob Dylan;1970
Breakfast In America (live);Paris;Supertramp;1980
Broke Down Engine;World Gone Wrong;Bob Dylan;1993
Crime Of The Century (live);Paris;Supertramp;1980
Emotionally Yours;Empire Burlesque;Bob Dylan;1985
I Believe In You;Slow Train Coming;Bob Dylan;1979
I'll Remember You;Empire Burlesque;Bob Dylan;1985
Just Like A Woman;Blonde On Blonde;Bob Dylan;1966
Lay Lady Lay;The Best Of Bob Dylan;Bob Dylan;1997
My Kind of Lady;Famous Last Words;Supertramp;1982
Sally Sue Brown;Down In The Groove;Bob Dylan;1988
Shooting Star (live);MTV Unplugged;Bob Dylan;1994
Spanish Is the Loving Tongue;Dylan;Bob Dylan;1973
Ten Thousand Men;Under The Red Sky;Bob Dylan;1990
The Weight (live);Before The Flood;Bob Dylan;1974
They Killed Him;Knocked Out Loaded;Bob Dylan;1986
Tiny Montgomery;The Basement Tapes;Bob Dylan;1975
Waiting So Long;Famous Last Words;Supertramp;1982
Where Are You Tonight;Street Legal;Bob Dylan;1978
Workingman's Blues #2;Modern Times;Bob Dylan;2006
You Started Laughing (live);Paris;Supertramp;1980
Brownsville Girl;Knocked Out Loaded;Bob Dylan;1986
Buckets Of Rain;Blood On The Tracks;Bob Dylan;1975
Cannonball;Brother Where You Bound;Supertramp;1985
Changing Of The Guards;Street Legal;Bob Dylan;1978
Desolation Row;Highway 61 Revisited;Bob Dylan;1965
Desolation Row (live);MTV Unplugged;Bob Dylan;1994
Forever Young;The Best Of Bob Dylan;Bob Dylan;1997
Fourth Time Around;Blonde On Blonde;Bob Dylan;1966
Know Who You Are;Famous Last Words;Supertramp;1982
Little Maggie;Good As I Been To You;Bob Dylan;1992
Man In The Long Black Coat;Oh Mercy;Bob Dylan;1989
School;The Very Best Of Supertramp;Supertramp;1990
T.V. Talkin' Song;Under The Red Sky;Bob Dylan;1990
Tenth Avenue Breakdown;Slow Motion;Supertramp;2002
To Ramona;Another Side Of Bob Dylan;Bob Dylan;1964
Under The Red Sky;Under The Red Sky;Bob Dylan;1990
Under Your Spell;Knocked Out Loaded;Bob Dylan;1986
Visions Of Johanna;Blonde On Blonde;Bob Dylan;1966
You Wanna Ramble;Knocked Out Loaded;Bob Dylan;1986
A Soapbox Opera;Crisis? What Crisis;Supertramp;1975
Arthur McBride;Good As I Been To You;Bob Dylan;1992
Babaji;Even In The Quietest Moments;Supertramp;1977
Better Days;Brother Where You Bound;Supertramp;1985
Blowin' In The Wind;Before The Flood;Bob Dylan;1974
Cat's In The Wheel;Under The Red Sky;Bob Dylan;1990
C'est What;Some Things Never Change;Supertramp;1997
Clothes Line Saga;The Basement Tapes;Bob Dylan;1975
Dreamer;The Very Best Of Supertramp;Supertramp;1990
Drifter's Escape;John Wesley Harding;Bob Dylan;1967
Goin' To Acapulco;The Basement Tapes;Bob Dylan;1975
Gone Hollywood;Breakfast In America;Supertramp;1979
I Threw It All Away (live);Hard Rain;Bob Dylan;1976
If Not For You;The Best Of Bob Dylan;Bob Dylan;1997
Katie's Been Gone;The Basement Tapes;Bob Dylan;1975
Lay Lady Lay (live);Before The Flood;Bob Dylan;1974
One Of Us Must Know;Blonde On Blonde;Bob Dylan;1966
Please,Mrs. Henry;The Basement Tapes;Bob Dylan;197
Precious Memories;Knocked Out Loaded;Bob Dylan;1986
Stage Fright (live);Before The Flood;Bob Dylan;1974
Take A Message To Mary;Self Portrait;Bob Dylan;1970
Take The Long Way Home (live);Paris;Supertramp;1980
The Levee's Gonna Break;Modern Times;Bob Dylan;2006
Thunder On The Mountain;Modern Times;Bob Dylan;2006
Tombstone Blues;Highway 61 Revisited;Bob Dylan;1965
Tombstone Blues (live);MTV Unplugged;Bob Dylan;1994
Tomorrow Night;Good As I Been To You;Bob Dylan;1992
When The Deal Goes Down;Modern Times;Bob Dylan;2006
Ain't No More Cane;The Basement Tapes;Bob Dylan;1975
Apple Sucking Tree;The Basement Tapes;Bob Dylan;1975
Billy 1;Pat Garrett And Billy The Kid;Bob Dylan;1973
Billy 4;Pat Garrett And Billy The Kid;Bob Dylan;1973
Billy 7;Pat Garrett And Billy The Kid;Bob Dylan;1973
Blackjack Davey;Good As I Been To You;Bob Dylan;1992
Child Of Vision;Breakfast In America;Supertramp;1979
Do Right To Me Baby;Slow Train Coming;Bob Dylan;1979
Don't Leave Me Now;Famous Last Words;Supertramp;1982
From A Buick Six;Highway 61 Revisited;Bob Dylan;1965
I Threw It All Away;Nashville Skyline;Bob Dylan;1969
It's Raining Again;Famous Last Words;Supertramp;1982
Lord Is It Mine;Breakfast In America;Supertramp;1979
No Inbetween;Brother Where You Bound;Supertramp;1985
Silvio;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Sister Moonshine;Crisis? What Crisis;Supertramp;1975
The Mighty Quinn (live);Self Portrait;Bob Dylan;1970
Times Have Changed;Indelibly Stamped;Supertramp;1971
We Better Talk This Over;Street Legal;Bob Dylan;1978
Baby, Let Me Follow You Down;Bob Dylan;Bob Dylan;196
Dignity;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Don't Ya Tell Henry;The Basement Tapes;Bob Dylan;1975
Goodbye Stranger;Breakfast In America;Supertramp;1979
Got My Mind Made Up;Knocked Out Loaded;Bob Dylan;1986
Gotta Serve Somebody;Slow Train Coming;Bob Dylan;1979
Just A Normal Day;Crisis? What Crisis;Supertramp;1975
Make You Feel My Love;Time Out Of Mind;Bob Dylan;1997
Million Dollar Bash;The Basement Tapes;Bob Dylan;1975
One Too Many Mornings (live);Hard Rain;Bob Dylan;1976
Outlaw Blues;Bringing It All Back Home;Bob Dylan;1965
She Belongs To Me (live);Self Portrait;Bob Dylan;1970
Still In Love;Brother Where You Bound;Supertramp;1985
Tangled Up In Blue;Blood On The Tracks;Bob Dylan;1975
The Logical Song;Breakfast In America;Supertramp;1979
To Be Alone With You;Nashville Skyline;Bob Dylan;1969
Too Much Of Nothing;The Basement Tapes;Bob Dylan;1975
True Love Tends To Forget;Street Legal;Bob Dylan;1978
When You Awake (live);Before The Flood;Bob Dylan;1974
You're A Big Girl Now (live);Hard Rain;Bob Dylan;1976
Absolutely Sweet Marie;Blonde On Blonde;Bob Dylan;1966
An Awful Thing To Waste;Free As A Bird;Supertramp;1987
And The Light;Some Things Never Change;Supertramp;1997
Bloody Well Right;Crime Of The Century;Supertramp;1974
Cannonball;The Very Best Of Supertramp;Supertramp;1990
Death Is Not The End;Down In The Groove;Bob Dylan;1988
Don't Fall Apart On Me Tonight;Infidels;Bob Dylan;1983
Down Along The Cove;John Wesley Harding;Bob Dylan;1967
Endless Highway (live);Before The Flood;Bob Dylan;1974
Ever Open Door;Brother Where You Bound;Supertramp;1985
Gates Of Eden;Bringing It All Back Home;Bob Dylan;1965
